# _tick,_time,step,total_loss,mean_episode_return,mean_episode_true_return,pg_loss,baseline_loss,entropy_loss
1120,1631057521.513754,358400,3221.4130859375,1004.2857666015625,51.42857360839844,108.79270935058594,3114.191650390625,-1.571271538734436
1121,1631057521.881341,358720,4161.0947265625,802.857177734375,64.28572082519531,5.881488800048828,4155.6494140625,-0.43609052896499634
1122,1631057522.010992,359040,5833.8173828125,815.0,55.0,-28.71872329711914,5862.65478515625,-0.11842238903045654
1123,1631057522.8268723,359360,8375.6689453125,734.0,66.0,27.540964126586914,8348.40234375,-0.27433282136917114
1124,1631057523.0622756,359680,7303.556640625,802.857177734375,68.5714340209961,-14.563592910766602,7318.181640625,-0.06135112792253494
1125,1631057523.2448263,360000,2512.984130859375,941.6666870117188,55.0,-4.849303245544434,2517.8701171875,-0.03651124984025955
1126,1631057523.4876535,360320,11666.7998046875,1072.0,60.0,0.008914344012737274,11666.791015625,-0.00025935692247003317
1127,1631057523.648065,360640,10345.6259765625,1030.0,64.28572082519531,2.208885669708252,10343.4287109375,-0.011828925460577011
1128,1631057524.1662705,360960,5032.54833984375,843.75,52.5,3.879892349243164,5028.8271484375,-0.1585618108510971
1129,1631057524.4988708,361280,6490.31884765625,926.6666870117188,50.0,167.35523986816406,6323.75927734375,-0.7960301637649536
1130,1631057524.8146794,361600,4485.4189453125,968.3333740234375,55.0,3.36875319480896,4482.09521484375,-0.04472019523382187
1131,1631057525.465991,361920,8455.61328125,1010.0,50.0,295.5218505859375,8160.9365234375,-0.8443037271499634
1132,1631057525.9954913,362240,3657.65869140625,1038.0,42.0,-9.90408706665039,3667.740966796875,-0.1782020926475525
1133,1631057526.392774,362560,6796.3837890625,1092.857177734375,42.85714340209961,13.28011703491211,6783.171875,-0.0681622251868248
1134,1631057526.5647016,362880,3387.4951171875,1020.0,45.0,-8.21920394897461,3396.13720703125,-0.42285826802253723
1135,1631057526.973915,363200,13288.4306640625,864.2857666015625,55.71428680419922,-14.517711639404297,13302.984375,-0.03568461537361145
1136,1631057527.1694682,363520,5755.1611328125,878.5714721679688,60.000003814697266,-5.968853950500488,5761.208984375,-0.07912169396877289
1137,1631057527.9509625,363840,3991.218994140625,952.0,54.0,20.562744140625,3971.462646484375,-0.8063477873802185
1138,1631057528.180244,364160,2895.818115234375,1048.3333740234375,55.0,-84.83834075927734,2980.83544921875,-0.17897772789001465
1139,1631057528.7242637,364480,4497.2236328125,941.4285888671875,51.42857360839844,36.43535232543945,4462.03515625,-1.2470273971557617
1140,1631057528.9857516,364800,5451.06005859375,895.71435546875,55.71428680419922,-7.829833984375,5459.0625,-0.17236736416816711
1141,1631057529.1724143,365120,3540.70849609375,1000.0000610351562,64.28572082519531,44.262237548828125,3497.727294921875,-1.2809017896652222
1142,1631057529.5039046,365440,8575.8203125,812.0,66.0,-12.168557167053223,8588.1328125,-0.1438027024269104
1143,1631057529.82894,365760,9565.1689453125,946.6666870117188,60.0,3.203207015991211,9561.9990234375,-0.0328536182641983
1144,1631057530.2045412,366080,5360.3515625,960.0,55.0,-31.682518005371094,5392.265625,-0.23148266971111298
1145,1631057530.5015354,366400,5961.3564453125,948.3333740234375,60.0,-9.426370620727539,5970.83056640625,-0.04799260199069977
1146,1631057530.9868336,366720,4330.02294921875,911.4285888671875,64.28572082519531,-16.40140151977539,4346.9365234375,-0.512126088142395
1147,1631057531.2062452,367040,2720.794677734375,903.3333740234375,65.0,-4.907928943634033,2725.86279296875,-0.16011908650398254
1148,1631057531.6671298,367360,6377.7080078125,981.6666870117188,60.0,-4.454181671142578,6382.4267578125,-0.26480013132095337
1149,1631057532.110843,367680,3902.03564453125,914.0,54.0,16.182741165161133,3886.23779296875,-0.3848879635334015
1150,1631057532.8585424,368000,7451.68505859375,878.5714721679688,60.000003814697266,-0.5830058455467224,7452.34716796875,-0.07930312305688858
1151,1631057533.540587,368320,14833.2724609375,706.6666870117188,65.0,199.35545349121094,14634.29296875,-0.3757822811603546
1152,1631057533.7217648,368640,2576.96533203125,991.4285888671875,51.42857360839844,-74.32270050048828,2651.599609375,-0.31161701679229736
1153,1631057533.8871984,368960,6525.041015625,986.6666870117188,50.0,-31.672332763671875,6556.7939453125,-0.08044843375682831
1154,1631057534.12492,369280,5708.498046875,965.71435546875,51.42857360839844,8.757158279418945,5699.939453125,-0.19889336824417114
1155,1631057534.4465904,369600,3905.97314453125,921.4285888671875,55.71428680419922,118.44405364990234,3788.673828125,-1.1447492837905884
1156,1631057534.7015634,369920,8218.638671875,875.7142944335938,51.42857360839844,-11.627935409545898,8230.5234375,-0.2572646737098694
1157,1631057535.032046,370240,6627.81201171875,896.25,60.0,-15.846025466918945,6643.68994140625,-0.03194886073470116
1158,1631057535.7449362,370560,3556.1962890625,1042.857177734375,60.000003814697266,-16.79146957397461,3573.36767578125,-0.3799843490123749
1159,1631057536.2843719,370880,8354.2822265625,804.0,54.0,6.896876811981201,8347.419921875,-0.03445426747202873
