# _tick,_time,step,total_loss,mean_episode_return,mean_episode_true_return,pg_loss,baseline_loss,entropy_loss
181,1630993738.000056,57920,687.5128173828125,nan,nan,437.6832275390625,253.01046752929688,-3.1809020042419434
182,1630993738.3218093,58240,16980.72265625,2492.5,390.0,-1190.9305419921875,18174.890625,-3.237978458404541
183,1630993738.693989,58560,4094.737548828125,1760.0,258.0,54.3046875,4043.263916015625,-2.830859422683716
184,1630993738.955081,58880,4645.45458984375,1330.0,75.0,158.21029663085938,4490.5263671875,-3.2820372581481934
185,1630993739.1613286,59200,11000.6982421875,2543.33349609375,323.3333435058594,-185.3617706298828,11188.9130859375,-2.8530380725860596
186,1630993739.4314725,59520,3572.10009765625,4320.0,1040.0,260.18768310546875,3314.97607421875,-3.063811779022217
187,1630993739.6377485,59840,856.3563232421875,nan,nan,504.1976318359375,354.8690185546875,-2.7103569507598877
188,1630993739.9832458,60160,4656.6796875,1330.0,240.0,127.0650634765625,4532.35546875,-2.740741014480591
189,1630993740.22811,60480,528.7714233398438,nan,nan,342.9512023925781,187.9953155517578,-2.1751201152801514
190,1630993740.5180814,60800,3656.738525390625,1790.0,120.0,-230.91990661621094,3889.994873046875,-2.3364784717559814
191,1630993740.778249,61120,1882.8812255859375,4340.0,940.0,196.83230590820312,1687.9053955078125,-1.8564950227737427
192,1630993741.0882876,61440,2780.95556640625,2665.0,565.0,202.50515747070312,2580.243896484375,-1.7934691905975342
193,1630993741.2701042,61760,849.0394897460938,nan,nan,453.58538818359375,397.54278564453125,-2.0887136459350586
194,1630993741.5030384,62080,12931.9443359375,1630.0,312.5,-516.1038208007812,13450.208984375,-2.161308765411377
195,1630993741.709946,62400,2724.705322265625,660.0,30.0,214.19442749023438,2512.67333984375,-2.1623282432556152
196,1630993742.0277157,62720,5935.0,1103.3333740234375,100.0,-23.736061096191406,5960.744140625,-2.0083508491516113
197,1630993742.298059,63040,4946.44287109375,1360.0,165.0,-41.1505126953125,4989.5380859375,-1.944794774055481
198,1630993742.5298324,63360,356.7514953613281,4670.0,820.0,136.0086212158203,222.24136352539062,-1.498503565788269
199,1630993742.791671,63680,5912.67919921875,1890.0,220.0,153.2978973388672,5760.857421875,-1.4759104251861572
